bright_ube,"Bright Ube",#d19fe8,209,159,232
brilliant_lavender,"Brilliant Lavender",#f4bbff,244,187,255
brilliant_rose,"Brilliant Rose",#ff55a3,255,85,163
brink_pink,"Brink Pink",#fb607f,251,96,127
british_racing_green,"British Racing Green",#004225,0,66,37
bronze,"Bronze",#cd7f32,205,127,50
brown_traditional,"Brown (Traditional)",#964b00,150,75,0
brown_web,"Brown (Web)",#a52a2a,165,42,42
bubble_gum,"Bubble Gum",#ffc1cc,255,193,204
bubbles,"Bubbles",#e7feff,231,254,255
buff,"Buff",#f0dc82,240,220,130
bulgarian_rose,"Bulgarian Rose",#480607,72,6,7
burgundy,"Burgundy",#800020,128,0,32
burlywood,"Burlywood",#deb887,222,184,135
burnt_orange,"Burnt Orange",#c50,204,85,0
burnt_sienna,"Burnt Sienna",#e97451,233,116,81
burnt_umber,"Burnt Umber",#8a3324,138,51,36
byzantine,"Byzantine",#bd33a4,189,51,164
byzantium,"Byzantium",#702963,112,41,99
cadet,"Cadet",#536872,83,104,114
cadet_blue,"Cadet Blue",#5f9ea0,95,158,160
cadet_grey,"Cadet Grey",#91a3b0,145,163,176
cadmium_green,"Cadmium Green",#006b3c,0,107,60
cadmium_orange,"Cadmium Orange",#ed872d,237,135,45
cadmium_red,"Cadmium Red",#e30022,227,0,34
cadmium_yellow,"Cadmium Yellow",#fff600,255,246,0
caf_au_lait,"Café Au Lait",#a67b5b,166,123,91
caf_noir,"Café Noir",#4b3621,75,54,33
cal_poly_green,"Cal Poly Green",#1e4d2b,30,77,43
cambridge_blue,"Cambridge Blue",#a3c1ad,163,193,173
camel,"Camel",#c19a6b,193,154,107
cameo_pink,"Cameo Pink",#efbbcc,239,187,204
camouflage_green,"Camouflage Green",#78866b,120,134,107
canary_yellow,"Canary Yellow",#ffef00,255,239,0
candy_apple_red,"Candy Apple Red",#ff0800,255,8,0
candy_pink,"Candy Pink",#e4717a,228,113,122
capri,"Capri",#00bfff,0,191,255
caput_mortuum,"Caput Mortuum",#592720,89,39,32
cardinal,"Cardinal",#c41e3a,196,30,58
caribbean_green,"Caribbean Green",#0c9,0,204,153
carmine,"Carmine",#960018,150,0,24
carmine_m_p,"Carmine (M&P)",#d70040,215,0,64
carmine_pink,"Carmine Pink",#eb4c42,235,76,66
carmine_red,"Carmine Red",#ff0038,255,0,56
carnation_pink,"Carnation Pink",#ffa6c9,255,166,201
carnelian,"Carnelian",#b31b1b,179,27,27
carolina_blue,"Carolina Blue",#99badd,153,186,221
carrot_orange,"Carrot Orange",#ed9121,237,145,33
catalina_blue,"Catalina Blue",#062a78,6,42,120
ceil,"Ceil",#92a1cf,146,161,207
celadon,"Celadon",#ace1af,172,225,175
celadon_blue,"Celadon Blue",#007ba7,0,123,167
celadon_green,"Celadon Green",#2f847c,47,132,124
celeste_colour,"Celeste (Colour)",#b2ffff,178,255,255
celestial_blue,"Celestial Blue",#4997d0,73,151,208
cerise,"Cerise",#de3163,222,49,99
cerise_pink,"Cerise Pink",#ec3b83,236,59,131
cerulean,"Cerulean",#007ba7,0,123,167
cerulean_blue,"Cerulean Blue",#2a52be,42,82,190
cerulean_frost,"Cerulean Frost",#6d9bc3,109,155,195
cg_blue,"Cg Blue",#007aa5,0,122,165
cg_red,"Cg Red",#e03c31,224,60,49
chamoisee,"Chamoisee",#a0785a,160,120,90
champagne,"Champagne",#fad6a5,250,214,165
charcoal,"Charcoal",#36454f,54,69,79
charm_pink,"Charm Pink",#e68fac,230,143,172
chartreuse_traditional,"Chartreuse (Traditional)",#dfff00,223,255,0
chartreuse_web,"Chartreuse (Web)",#7fff00,127,255,0
cherry,"Cherry",#de3163,222,49,99
cherry_blossom_pink,"Cherry Blossom Pink",#ffb7c5,255,183,197
chestnut,"Chestnut",#cd5c5c,205,92,92
china_pink,"China Pink",#de6fa1,222,111,161
china_rose,"China Rose",#a8516e,168,81,110
chinese_red,"Chinese Red",#aa381e,170,56,30
chocolate_traditional,"Chocolate (Traditional)",#7b3f00,123,63,0
chocolate_web,"Chocolate (Web)",#d2691e,210,105,30
chrome_yellow,"Chrome Yellow",#ffa700,255,167,0
cinereous,"Cinereous",#98817b,152,129,123
cinnabar,"Cinnabar",#e34234,227,66,52
cinnamon,"Cinnamon",#d2691e,210,105,30
citrine,"Citrine",#e4d00a,228,208,10
classic_rose,"Classic Rose",#fbcce7,251,204,231
cobalt,"Cobalt",#0047ab,0,71,171
cocoa_brown,"Cocoa Brown",#d2691e,210,105,30
coffee,"Coffee",#6f4e37,111,78,55
columbia_blue,"Columbia Blue",#9bddff,155,221,255
congo_pink,"Congo Pink",#f88379,248,131,121
cool_black,"Cool Black",#002e63,0,46,99
cool_grey,"Cool Grey",#8c92ac,140,146,172
copper,"Copper",#b87333,184,115,51
copper_crayola,"Copper (Crayola)",#da8a67,218,138,103
copper_penny,"Copper Penny",#ad6f69,173,111,105
copper_red,"Copper Red",#cb6d51,203,109,81
copper_rose,"Copper Rose",#966,153,102,102
coquelicot,"Coquelicot",#ff3800,255,56,0
coral,"Coral",#ff7f50,255,127,80
coral_pink,"Coral Pink",#f88379,248,131,121
coral_red,"Coral Red",#ff4040,255,64,64
cordovan,"Cordovan",#893f45,137,63,69
corn,"Corn",#fbec5d,251,236,93
cornell_red,"Cornell Red",#b31b1b,179,27,27
cornflower_blue,"Cornflower Blue",#6495ed,100,149,237
cornsilk,"Cornsilk",#fff8dc,255,248,220
cosmic_latte,"Cosmic Latte",#fff8e7,255,248,231
cotton_candy,"Cotton Candy",#ffbcd9,255,188,217
cream,"Cream",#fffdd0,255,253,208
crimson,"Crimson",#dc143c,220,20,60
crimson_glory,"Crimson Glory",#be0032,190,0,50
cyan,"Cyan",#0ff,0,255,255
cyan_process,"Cyan (Process)",#00b7eb,0,183,235
daffodil,"Daffodil",#ffff31,255,255,49
dandelion,"Dandelion",#f0e130,240,225,48
dark_blue,"Dark Blue",#00008b,0,0,139
dark_brown,"Dark Brown",#654321,101,67,33
dark_byzantium,"Dark Byzantium",#5d3954,93,57,84
dark_candy_apple_red,"Dark Candy Apple Red",#a40000,164,0,0
dark_cerulean,"Dark Cerulean",#08457e,8,69,126
dark_chestnut,"Dark Chestnut",#986960,152,105,96
dark_coral,"Dark Coral",#cd5b45,205,91,69
dark_cyan,"Dark Cyan",#008b8b,0,139,139
dark_electric_blue,"Dark Electric Blue",#536878,83,104,120
dark_goldenrod,"Dark Goldenrod",#b8860b,184,134,11
dark_gray,"Dark Gray",#a9a9a9,169,169,169
dark_green,"Dark Green",#013220,1,50,32
dark_imperial_blue,"Dark Imperial Blue",#00416a,0,65,106
dark_jungle_green,"Dark Jungle Green",#1a2421,26,36,33
dark_khaki,"Dark Khaki",#bdb76b,189,183,107
dark_lava,"Dark Lava",#483c32,72,60,50
dark_lavender,"Dark Lavender",#734f96,115,79,150
dark_magenta,"Dark Magenta",#8b008b,139,0,139
dark_midnight_blue,"Dark Midnight Blue",#036,0,51,102
dark_olive_green,"Dark Olive Green",#556b2f,85,107,47
dark_orange,"Dark Orange",#ff8c00,255,140,0
dark_orchid,"Dark Orchid",#9932cc,153,50,204
dark_pastel_blue,"Dark Pastel Blue",#779ecb,119,158,203
dark_pastel_green,"Dark Pastel Green",#03c03c,3,192,60
dark_pastel_purple,"Dark Pastel Purple",#966fd6,150,111,214
dark_pastel_red,"Dark Pastel Red",#c23b22,194,59,34
dark_pink,"Dark Pink",#e75480,231,84,128
dark_powder_blue,"Dark Powder Blue",#039,0,51,153
dark_raspberry,"Dark Raspberry",#872657,135,38,87
dark_red,"Dark Red",#8b0000,139,0,0
dark_salmon,"Dark Salmon",#e9967a,233,150,122
dark_scarlet,"Dark Scarlet",#560319,86,3,25
dark_sea_green,"Dark Sea Green",#8fbc8f,143,188,143
dark_sienna,"Dark Sienna",#3c1414,60,20,20
dark_slate_blue,"Dark Slate Blue",#483d8b,72,61,139
dark_slate_gray,"Dark Slate Gray",#2f4f4f,47,79,79
dark_spring_green,"Dark Spring Green",#177245,23,114,69
dark_tan,"Dark Tan",#918151,145,129,81
dark_tangerine,"Dark Tangerine",#ffa812,255,168,18
dark_taupe,"Dark Taupe",#483c32,72,60,50
dark_terra_cotta,"Dark Terra Cotta",#cc4e5c,204,78,92
dark_turquoise,"Dark Turquoise",#00ced1,0,206,209
dark_violet,"Dark Violet",#9400d3,148,0,211
dark_yellow,"Dark Yellow",#9b870c,155,135,12
dartmouth_green,"Dartmouth Green",#00703c,0,112,60
davy_s_grey,"Davy'S Grey",#555,85,85,85
debian_red,"Debian Red",#d70a53,215,10,83
